date,open,high,low,close,volume
2026-08-06,4690,4698,4648,4677,27590
2026-08-05,4705,4715,4665,4686,26970
2026-08-04,4664,4723,4649,4702,35430
2026-08-03,4623,4702,4614,4696,66440
2026-07-30,4674,4686,4627,4643,27340
2026-07-29,4675,4689,4635,4683,26570
2026-07-28,4643,4681,4633,4664,31370
2026-07-27,4678,4685,4603,4642,34310
2026-07-23,4721,4786,4712,4722,40510
2026-07-22,4619,4721,4616,4710,44010
2026-07-21,4608,4633,4592,4622,44360
2026-07-20,4644,4650,4588,4610,30570
2026-07-16,4604,4608,4575,4597,24320
2026-07-15,4593,4614,4568,4606,23590
2026-07-14,4591,4595,4538,4569,32320
2026-07-13,4533,4605,4518,4573,36130
2026-07-09,4581,4589,4495,4513,37700
2026-07-08,4592,4630,4563,4594,31790
2026-07-07,4550,4618,4528,4609,37460
2026-07-06,4552,4595,4543,4547,28380
