strategy,start,end,final_equity,total_return,cagr,max_drawdown,trade_count,trades_per_month,win_rate,profit_factor,equity_volatility
momentum,2015-01-05,2026-09-23,874.3866766571218,-0.12561332334287822,-0.011392530319565441,-0.13048014684118447,2,0.014226454779154006,0.0,0.0,0.025290758273655515
trend,2015-01-05,2026-09-23,890.7342601684742,-0.10926573983152577,-0.009828170250128387,-0.10926573983152577,1,0.007113227389577003,0.0,0.0,0.025124252119308615
breakout,2015-01-05,2026-09-23,985.7436472185516,-0.014256352781448434,-0.0012249109740889441,-0.10862800740697398,3,0.02133968216873101,0.3333333333333333,0.8259739130725013,0.03865587054745382
shock_reaction,2015-01-05,2026-09-23,1044.1522428240878,0.04415224282408792,0.003694758786465968,-0.10962129604732196,7,0.04979259172703902,0.42857142857142855,1.424091998533442,0.040896195641791484
slow_momentum,2015-01-05,2026-09-23,880.7775137002079,-0.11922248629979204,-0.010777808366087327,-0.12297323220732692,1,0.007113227389577003,0.0,0.0,0.018660886148179425
volume_momentum,2015-01-05,2026-09-23,939.4840150251609,-0.06051598497483901,-0.005314302656289294,-0.10684730493227446,3,0.02133968216873101,0.3333333333333333,0.3337051200392123,0.02410904376982367
trend_pullback,2015-01-05,2026-09-23,888.730603846699,-0.111269396153301,-0.01001848864096766,-0.111269396153301,6,0.04267936433746202,0.16666666666666666,0.01628981454876047,0.016336146886443567
active_reversal,2015-01-05,2026-09-23,930.4071307662963,-0.06959286923370367,-0.00613826573455134,-0.10612074690859052,2,0.014226454779154006,0.0,0.0,0.030890112019095382
breakout_volume,2015-01-05,2026-09-23,926.082275553255,-0.07391772444674494,-0.0065334479844746385,-0.10129218195339207,1,0.007113227389577003,0.0,0.0,0.02426240032561221
high_volume_reversal,2015-01-05,2026-09-23,969.278532873208,-0.030721467126792024,-0.0026599271193903373,-0.11789790233296349,5,0.03556613694788502,0.6,0.7302430072557365,0.03477285896764992
downturn_reversal,2015-01-05,2026-09-23,986.6721870931889,-0.013327812906811065,-0.0011446387681982584,-0.14311794677148804,5,0.03556613694788502,0.6,0.9230436212040548,0.04468638102302461
relative_contrarian,2015-01-05,2026-09-23,924.9711509894696,-0.07502884901053042,-0.0066352491566126215,-0.1275587819486642,2,0.014226454779154006,0.5,0.3230558073311772,0.02409279248665149
regime_adaptive,2015-01-05,2026-09-23,956.4963135901642,-0.04350368640983582,-0.003789416881851748,-0.15385702601647222,1,0.007113227389577003,0.0,0.0,0.033864162725358506
