strategy,start,end,final_equity,total_return,cagr,max_drawdown,trade_count,trades_per_month,win_rate,profit_factor,equity_volatility
momentum,2015-01-05,2026-09-25,874.3866766571218,-0.12561332334287822,-0.011387238370062613,-0.13048014684118447,2,0.014219808455968232,0.0,0.0,0.025282021719287454
trend,2015-01-05,2026-09-25,890.7342601684742,-0.10926573983152577,-0.00982360134690774,-0.10926573983152577,1,0.007109904227984116,0.0,0.0,0.025115571308130708
breakout,2015-01-05,2026-09-25,985.7436472185516,-0.014256352781448434,-0.0012243390699475665,-0.10862800740697398,3,0.02132971268395235,0.3333333333333333,0.8259739130725013,0.038642506383116504
shock_reaction,2015-01-05,2026-09-25,1044.1522428240878,0.04415224282408792,0.003693029483579524,-0.10962129604732196,7,0.04976932959588881,0.42857142857142855,1.424091998533442,0.04088205764608724
slow_momentum,2015-01-05,2026-09-25,880.7775137002079,-0.11922248629979204,-0.010772800402933269,-0.12297323220732692,1,0.007109904227984116,0.0,0.0,0.01865444338120648
volume_momentum,2015-01-05,2026-09-25,939.4840150251609,-0.06051598497483901,-0.005311826523018537,-0.10684730493227446,3,0.02132971268395235,0.3333333333333333,0.3337051200392123,0.02410071025741567
trend_pullback,2015-01-05,2026-09-25,888.730603846699,-0.111269396153301,-0.010013831711001897,-0.111269396153301,6,0.0426594253679047,0.16666666666666666,0.01628981454876047,0.016330507761719973
active_reversal,2015-01-05,2026-09-25,930.4071307662963,-0.06959286923370367,-0.006135406871333737,-0.10612074690859052,2,0.014219808455968232,0.0,0.0,0.030879434131263626
breakout_volume,2015-01-05,2026-09-25,926.082275553255,-0.07391772444674494,-0.006530405672701356,-0.10129218195339207,1,0.007109904227984116,0.0,0.0,0.024254014592920155
high_volume_reversal,2015-01-05,2026-09-25,969.278532873208,-0.030721467126792024,-0.002658686106531083,-0.11789790233296349,5,0.03554952113992058,0.6,0.7302430072557365,0.034760837410868654
downturn_reversal,2015-01-05,2026-09-25,986.6721870931889,-0.013327812906811065,-0.0011441043212349067,-0.14311794677148804,5,0.03554952113992058,0.6,0.9230436212040548,0.04467093197234189
relative_contrarian,2015-01-05,2026-09-25,924.9711509894696,-0.07502884901053042,-0.006632159599347931,-0.1275587819486642,2,0.014219808455968232,0.5,0.3230558073311772,0.0240844654949215
regime_adaptive,2015-01-05,2026-09-25,956.4963135901642,-0.04350368640983582,-0.0037876498968903993,-0.15385702601647222,1,0.007109904227984116,0.0,0.0,0.033852455589104886
